category,card_ids,recall_card_ids,add_display_ids,question,answer
一般,,,,手札に想い出カードが上限枚数(8枚)ある場合、追加の想い出カードを獲得できないのか。それとも、獲得したあと好きなカードを捨てられるのか。,獲得したあと、好きなカードを捨てられます。一時的に上限オーバーは許容されますが、次のアクションや効果の適用の前に必ず手札を8枚になるよう捨ててください。
"一般, 目標",,,,目標カードは達成した瞬間にしか獲得できないか。それともターン内であれば獲得可能か。,目標カードを満たしているタイミングであれば獲得可能です。例えば、「1ターンに6部屋以上入室」の目標カードは、ターン内であればカウントがリセットされないため、移動フェイズで6部屋以上移動すれば、ターン内いつ獲得しても構いません。一方で、「自己構成済みカードに知恵鍵・意志鍵・感情鍵・万能鍵が存在」の目標カードは、初期自我「建築家」の効果で自己構成済みカードを捨札にすることがあるため、揃っているタイミングでしか獲得できません。
一般,,,,「知恵」「感情」「意志」ごとにカード効果の傾向はありますか。,はい、あります。「知恵」は精神分析や心光獲得、「感情」は自己構成、「意志」は移動や場札獲得系のカード効果・想起効果が多い傾向にあります。
一般,,,,自己構成トークンを使用して、自己構成アクションを行わないことは可能ですか。,いいえ、できません。自己構成トークンや精神分析トークンの空撃ちはできません。
一般,,,,想い出の場札の枚数が0枚のとき、代わりに想い出の山札からカードを獲得できますか。,いいえ、できません。想い出の場札が0枚であれば、想い出の場札を獲得する効果は無視されます。
想起,,,32,プレイヤーAは、移動フェイズでプレイヤーBがいる部屋に止まりました。想起フェイズで表向きにした『No.32 宙吊りの罪悪感』の想起効果は、「床アクションの代わりに自己構成アクションを行ってもよい」でした。プレイヤーBは自己構成アクションを行えますか。,いいえ、できません。ルールブックVページ目に記載の通り、床アクションを代替する想起効果の場合、手番プレイヤー以外は想起効果を発動できません。
想起,,"33,36,39,51,54,57,66,69",36,想起フェイズで表向きにしたカードは『No.36 反復する日常』でした。想起効果は「次のレベル1の部屋に移動してもよい。そうした場合、場札を1枚獲得し、移動先のアクションを行う」です。現在、左上から右に3番目の部屋にいるとき、次のレベル1の部屋は右上から下に2番目の部屋でしょうか。,はい、そうです。この際、右上のレベル2の部屋を通過するため、その部屋の周遊ボーナスも受け取れます。
想起,,"33,36,39,51,54,57,66,69,96",39,想起フェイズで表向きにしたカードは『No.39 錯覚の牢獄』でした。想起効果は「次のレベル1の部屋に移動してもよい。そうした場合、場札を1枚獲得し、移動先のアクションを行う」です。次の部屋に移動した場合、移動した部屋のカードは表向きにしますか。,いいえ、表向きにしません。想起フェイズでは、想起フェイズ開始時にいた部屋の想い出カードです。同様に、床アクションフェイズでは、床アクション開始時にいる部屋の床アクションを行えます。
"初期自我, 精神分析, 想い出カード効果","58,I2",,,心光トークンが配置されていない精神分析カードに進んだ際、『No.58 観測前夜』の効果で心光を獲得しました。このとき、初期自我カード『領事』の効果で追加で心光を獲得できますか。,いいえ、できません。『領事』の効果が適用されるのは、精神分析トラック上（精神分析カード上）の心光トークンを獲得した時のみです。
"想起, 想い出カード効果",62,,31,想起フェイズで表向きにしたカードは『No.31 曖昧な記憶』でした。想起効果は「床アクションの代わりに精神分析アクションを行ってもよい」です。『No.62 自己矛盾』の効果で、床アクションの代わりに精神分析アクションを2回行うことはできますか。,いいえ、できません。代替効果を1回使うと、床アクションを代替した精神分析アクションが床アクションとして扱われるため、代替効果を2回目使っても変わりません。
"想起, 想い出カード効果",62,"33,36,39,51,54,57,66,69,96",42,想起フェイズで表向きにしたカードは『No.42 意見の錯綜』でした。想起効果は「次のレベル1の部屋に移動してもよい。そうした場合、場札を1枚獲得し、移動先のアクションを行う」です。『No.62 自己矛盾』の効果で2つ先のレベル1の部屋まで移動することはできますか。,はい、できます。1回目の想起効果で次のレベル1の部屋に移動し、その部屋の床アクションを行うことになります。2回目の想起効果でさらにその床アクションを代替して次のレベル1の部屋に移動し、移動した先の床アクションを行うことになります。
"自己構成, 想起, 想い出カード効果","62,71",,34,自己構成アクション前にフリーアクションとして自己構成トークンを用い、『No.34 思考の鍵』を自己構成しました。『No.62 自己矛盾』の効果で『No.34 思考の鍵』の想起効果である「床アクションの代わりに精神分析アクションを行ってもよい」は使えますか。,いいえ、できません。すでに床アクションフェイズは終わっているため、床アクションを代替する想起効果は発動できません。
想い出カード効果,"59,63,70",,,第五階層の精神分析を行う際に、エンジンが6つ足りないので、心光の行使を複数回行うことにしました。『No.59 矛盾した公理』の効果で、1/2/3/4/5回目の心光の行使は1/1/2/2/3つの心光を支払いました。6回目の精神分析では、心光をいくつ払えば良いでしょうか。,6つ支払う必要があります。6回目の心光の行使はカード効果に記載されていないため、ルール通り6つ支払う必要があります。
想い出カード効果,"59,70",,,自己構成フェイズで、心光の行使を2回行う際、『No.70 終端の構造』の効果で、合計2つの心光の支払いで済みました。フリーアクションとして追加の自己構成アクションを行ったとき、追加のアクションにおける2回目の心光の行使でも1つ心光を支払えばよいでしょうか。,はい、1つで十分です。心光の行使がアクション・フェイズでカウントがリセットされるのと同様に、このカードの効果もアクション・フェイズでカウントがリセットされます。
想い出カード効果,"59,63,70",,,移動フェイズで2回目の心光の行使を行う際、『No.63 閉じたアルバム』の効果を適用せずに心光を2つ支払ってもよいでしょうか。,いいえ、心光は1つ支払ってください。このゲームでは、他プレイヤーのトークンを奪う効果などはないため、余計に支払うメリットはないです。
"精神分析, 想い出カード効果","60,89,98",,91,精神分析第四階層のBONUSとして『No.91 無限回廊の地図』を自己構成したいです。このとき、『No.60 あの日の残像』の効果で自己構成エネルギーを-1し、エネルギーを負として代わりにリソースを獲得することはできますか。,いいえ、できません。自己構成エネルギーが0未満になることはありません。
