card_id,lv2_id,card_name,id_name,n_card,original_id,level,engine,e1,e2,cost,r,otype,score,condition,effect
1,,捨てられたイデア,No.1 捨てられたイデア,1,1,1,1,知恵,,2,知恵,c,1,,
2,,既視感,No.2 既視感,1,1,1,1,感情,,2,感情,c,1,,
3,,荒廃,No.3 荒廃,1,1,1,1,意志,,2,意志,c,1,,
4,,解かれぬ構造,No.4 解かれぬ構造,1,2,1,1,知恵,,2,知恵,c,1,,
5,,肖像,No.5 肖像,1,2,1,1,感情,,2,感情,c,1,,
6,,自由の代償,No.6 自由の代償,1,2,1,1,意志,,2,意志,c,1,,
7,,色褪せた写真,No.7 色褪せた写真,1,3,1,1,知恵,,2,知恵,c,1,,
8,,予知夢,No.8 予知夢,1,3,1,1,感情,,2,感情,c,1,,
9,,届かなかった想い,No.9 届かなかった想い,1,3,1,1,意志,,2,意志,c,1,,
10,,閉ざされた論理,No.10 閉ざされた論理,1,4,1,1,知恵,,2,知恵,c,1,,
11,,涙の輝き,No.11 涙の輝き,1,4,1,1,感情,,2,感情,c,1,,
12,,虚ろな情報,No.12 虚ろな情報,1,4,1,1,意志,,2,意志,c,1,,
13,,問い,No.13 問い,1,5,1,1,知恵,,2,知恵,s,1,,
14,,叡智の末路,No.14 叡智の末路,1,5,1,1,感情,,2,感情,s,1,,
15,,意識の縁,No.15 意識の縁,1,5,1,1,意志,,2,意志,s,1,,
16,,想い出の忘却,No.16 想い出の忘却,1,6,1,1,知恵,,2,知恵,s,1,,
17,,重圧,No.17 重圧,1,6,1,1,感情,,2,感情,s,1,,
18,,強大な障壁,No.18 強大な障壁,1,6,1,1,意志,,2,意志,s,1,,
19,,理解の限界,No.19 理解の限界,1,7,1,1,知恵,,2,知恵,s,1,,
20,,幼き日の恐怖,No.20 幼き日の恐怖,1,7,1,1,感情,,2,感情,s,1,,
21,,自己の数式,No.21 自己の数式,1,7,1,1,意志,,2,意志,s,1,,
22,,理性の自壊,No.22 理性の自壊,1,8,1,1,知恵,,2,知恵,w,1,,
23,,憂鬱,No.23 憂鬱,1,8,1,1,感情,,2,感情,w,1,,
24,,正義の重み,No.24 正義の重み,1,8,1,1,意志,,2,意志,w,1,,
25,,連続性の崩壊,No.25 連続性の崩壊,1,9,1,1,知恵,,2,知恵,w,1,,
